Author,Doc
2304,725
2304,1419
2304,1448
2304,1529
2304,1581
2304,1744
2304,1783
2304,2096
2304,2456
2304,2785
2304,2990
2304,3771
2304,4219
2304,4242
2304,4420
2304,4448
2304,4687
2304,4743
2304,4778
2304,4898
2305,334
2305,335
2305,1478
2305,1597
2305,1841
2305,2133
2305,2526
2305,2961
2305,3042
2305,3120
2305,3409
2305,3456
2305,3469
2305,3473
2305,3679
2305,3774
2305,4187
2305,4533
2306,661
2306,766
2306,802
2306,1056
2306,1195
2306,1495
2306,1569
2306,1577
2306,2163
2306,2323
2306,2459
2306,2855
2306,2926
2306,3181
2306,3535
2306,3549
2306,3989
2306,4135
2306,4254
2306,4356
2306,4973
2307,702
2307,946
2307,1817
2307,1830
2307,1982
2307,2281
2307,2310
2307,2479
2307,2744
2307,2990
2307,3182
2307,3305
2307,3365
2307,3629
2307,3692
2307,3710
2307,4194
2307,4419
2307,4515
2307,4693
2308,426
2308,687
2308,848
2308,1505
2308,1654
2308,1686
2308,1800
2308,1827
2308,1919
2308,2500
2308,2566
2308,2721
2308,2807
2308,3818
2308,3991
2308,4044
2308,4132
2308,4324
2308,4416
2308,4585
2308,4751
2309,283
2309,489
2309,791
2309,1190
2309,1310
2309,1341
2309,1382
2309,1383
2309,1570
2309,1666
2309,1729
2309,1800
2309,2119
2309,2308
2309,2723
2309,2908
2309,4308
2309,4389
2309,4926
2309,4930
2310,239
2310,386
2310,490
2310,589
2310,627
2310,1006
2310,1100
2310,1143
2310,1174
2310,1180
2310,1811
2310,1863
2310,1980
2310,2260
2310,2671
2310,2944
2310,3142
2310,3282
2310,3665
2310,3911
2310,4184
2310,4573
2310,4612
2310,4873
2310,4963
2311,453
2311,458
2311,563
2311,679
2311,725
2311,765
2311,914
2311,1292
2311,1503
2311,1875
2311,2050
2311,2073
2311,2894
2311,3361
2311,3419
2311,3610
2311,3918
2311,3939
2311,4202
2311,4271
2311,4363
2311,4418
2311,4429
2311,4548
2312,10
2312,627
2312,661
2312,739
2312,1092
2312,1101
2312,1139
2312,1142
2312,1314
2312,1425
2312,1478
2312,1733
2312,1938
2312,2121
2312,2593
2312,2721
2312,3058
2312,3081
2312,3325
2312,3450
2312,3801
2312,4056
2312,4232
2312,4740
2312,4993
2312,4994
2313,28
2313,445
2313,562
2313,579
2313,974
2313,1513
2313,1622
2313,1665
2313,1763
2313,2449
2313,2461
2313,2476
2313,2595
2313,2677
2313,2732
2313,2734
2313,2919
2313,3041
2313,3091
2313,4095
2313,4319
2313,4653
2313,4669
2313,4933
2314,249
2314,607
2314,728
2314,903
2314,966
2314,1616
2314,1684
2314,1744
2314,1996
2314,2208
2314,2420
2314,2576
2314,2601
2314,2697
2314,2709
2314,2805
2314,2966
2314,2984
2314,3197
2314,3203
2314,3352
2314,3404
2315,62
2315,304
2315,461
2315,700
2315,781
2315,867
2315,977
2315,1001
2315,1373
2315,1573
2315,1845
2315,1865
2315,2135
2315,2508
2315,2752
2315,3094
2315,3610
2315,3771
2315,4111
2315,4612
2315,4751
2315,4762
2315,4839
2315,4860
2315,4911
2316,152
2316,302
2316,389
2316,438
2316,454
2316,547
2316,565
2316,830
2316,860
2316,926
2316,1065
2316,1362
2316,1375
2316,1880
2316,1931
2316,2356
2316,2509
2316,2787
2316,2889
2316,3198
2316,3704
2316,4088
2317,24
2317,65
2317,986
2317,1036
2317,1274
2317,1492
2317,2991
2317,3330
2317,3397
2317,3571
2317,3650
2317,3895
2317,4289
2318,217
2318,250
2318,557
2318,742
2318,799
2318,958
2318,1433
2318,1962
2318,2517
2318,2608
2318,2773
2318,2893
2318,2994
2318,3073
2318,3128
2318,3398
2318,3493
2318,3603
2318,4585
2318,4810
2318,4971
2319,131
2319,551
2319,702
2319,1096
2319,1276
2319,2641
2319,2811
2319,2844
2319,2981
2319,3790
2319,4153
2319,4161
2319,4610
2319,4743
2320,587
2320,663
2320,804
2320,1324
2320,1350
2320,1532
2320,1631
2320,2031
2320,2422
2320,2631
2320,2715
2320,2748
2320,3161
2320,3228
2320,3247
2320,3396
2320,3498
2320,3793
2320,3852
2320,3918
2320,3977
2320,4208
2320,4464
2320,4831
2320,4842
2321,107
2321,121
2321,266
2321,357
2321,410
2321,828
2321,995
2321,1267
2321,1330
2321,2403
2321,2673
2321,2732
2321,3165
2321,3192
2321,3203
2321,3557
2321,3568
2321,4039
2322,130
2322,315
2322,358
2322,451
2322,566
2322,1694
2322,2044
2322,2176
2322,2733
2322,2786
2322,2814
2322,3001
2322,3039
2322,3198
2322,3258
2322,3371
2322,3430
2322,4288
2322,4652
2322,4688
2323,471
2323,686
2323,1260
2323,1507
2323,1538
2323,2060
2323,2349
2323,2734
2323,3080
2323,3346
2323,3676
2323,3972
2323,4156
2323,4309
2323,4395
2323,4878
2324,677
2324,717
2324,1014
2324,1075
2324,1413
2324,1470
2324,1609
2324,1844
2324,2101
2324,2319
2324,2500
2324,3361
2324,3382
2324,3706
2324,3750
2324,3814
2324,4278
2324,4280
2324,4386
2324,4432
2325,67
2325,298
2325,315
2325,492
2325,937
2325,1211
2325,1219
2325,1678
2325,2649
2325,2709
2325,2751
2325,3163
2325,3514
2325,4216
2325,4332
2325,4823
2325,4902
2326,444
2326,980
2326,1405
2326,1821
2326,2034
2326,2036
2326,2047
2326,2785
2326,2833
2326,3022
2326,3084
2326,3504
2326,4220
2326,4354
2326,4444
2326,4578
2326,4626
2326,4759
2326,4766
2326,4830
2327,157
2327,309
2327,363
2327,684
2327,991
2327,1138
2327,1172
2327,1506
2327,1594
2327,1684
2327,1726
2327,1803
2327,2777
2327,2842
2327,3159
2327,3328
2327,3459
2327,3739
2327,4592
2327,4786
2327,4948
2327,4966
2328,653
2328,1501
2328,2588
2328,3489
2328,3669
2328,3837
2328,3873
2328,4030
2328,4200
2328,4653
2328,4863
2328,4904
2329,405
2329,619
2329,647
2329,847
2329,931
2329,1691
2329,1905
2329,1973
2329,2235
2329,2238
2329,3224
2329,3450
2329,3991
2329,4016
2329,4948
2329,4999
2330,99
2330,130
2330,235
2330,539
2330,756
2330,1432
2330,1707
2330,1789
2330,2548
2330,2589
2330,2779
2330,2913
2330,3107
2330,3181
2330,3724
2330,3925
2330,4318
2330,4396
2330,4632
2330,4799
2330,4810
2330,4863
2331,191
2331,391
2331,855
2331,968
2331,1545
2331,1951
2331,2117
2331,2252
2331,2422
2331,2563
2331,2565
2331,2737
2331,2909
2331,3121
2331,3280
2331,3288
2331,3344
2331,3373
2331,4172
2331,4638
2331,4668
2331,4803
2331,4880
2332,75
2332,94
2332,393
2332,612
2332,896
2332,1206
2332,1227
2332,1264
2332,1520
2332,2014
2332,2091
2332,2446
2332,2666
2332,2905
2332,2966
2332,3643
2332,3777
2332,3862
2332,3900
2332,4083
2332,4504
2332,4842
2332,4859
2332,5000
2333,832
2333,1036
2333,1145
2333,1521
2333,1630
2333,1697
2333,1734
2333,2040
2333,2249
2333,2411
2333,2442
2333,2491
2333,2804
2333,2999
2333,3173
2333,3250
2333,3644
2333,4329
2333,4559
2333,4622
2334,2
2334,177
2334,390
2334,426
2334,557
2334,682
2334,743
2334,897
2334,1098
2334,1241
2334,1365
2334,2101
2334,2414
2334,2467
2334,2485
2334,2873
2334,2998
2334,3236
2334,3427
2334,3523
2334,3620
2334,3729
2334,3933
2334,4054
2334,4072
2334,4136
2334,4594
2334,4711
2334,4879
2335,926
2335,1764
2335,1882
2335,1963
2335,2652
2335,2669
2335,2740
2335,3067
2335,3388
2335,3709
2335,3904
2335,3924
2335,4689
2335,4888
2336,1429
2336,1730
2336,1880
2336,2025
2336,2053
2336,2313
2336,2370
2336,2626
2336,2701
2336,3016
2336,3068
2336,3350
2336,3430
2336,3578
2336,3806
2336,3995
2336,4098
2336,4223
2336,4578
2336,4689
2336,4810
2336,4921
2336,4942
2337,573
2337,1066
2337,1279
2337,1460
2337,1493
2337,1539
2337,1800
2337,2117
2337,2189
2337,2434
2337,2702
2337,2741
2337,4325
2337,4454
2337,4852
2338,54
2338,98
2338,519
2338,524
2338,690
2338,908
2338,1661
2338,1793
2338,2623
2338,2794
2338,3210
2338,3533
2338,3976
2338,4206
2338,4239
2338,4299
2338,4532
2338,4614
2338,4637
2339,12
2339,63
2339,139
2339,225
2339,447
2339,541
2339,585
2339,1244
2339,1294
2339,1620
2339,1860
2339,2123
2339,2350
2339,3064
2339,3271
2339,3351
2339,3391
2339,3903
2339,4379
2339,4423
2339,4448
2339,4624
2339,4737
2340,152
2340,404
2340,451
2340,492
2340,617
2340,835
2340,1081
2340,1137
2340,1471
2340,1636
2340,1881
2340,1940
2340,2357
2340,2450
2340,2470
2340,3195
2340,3386
2340,3846
2340,4210
2340,4538
2340,4775
2341,333
2341,476
2341,1049
2341,1180
2341,1187
2341,1467
2341,1566
2341,1570
2341,1801
2341,1852
2341,2182
2341,2195
2341,2836
2341,2842
2341,2846
2341,2875
2341,3325
2341,3361
2341,3532
2341,3614
2341,3787
2341,4160
2341,4187
2341,4327
2341,4333
2341,4469
2341,4531
2341,4772
2342,136
2342,216
2342,459
2342,1254
2342,2109
2342,2621
2342,2840
2342,3192
2342,3394
2342,3857
2342,4361
2342,4740
2342,4763
2342,4805
2342,4986
2343,112
2343,1304
2343,1468
2343,1479
2343,1864
2343,3257
2343,3340
2343,3619
2343,3659
2343,3688
2343,3815
2343,3932
2343,4502
2344,70
2344,1026
2344,1148
2344,1318
2344,1461
2344,1653
2344,2077
2344,2283
2344,2844
2344,3062
2344,3077
2344,4254
2344,4336
2344,4620
2344,4684
2344,4768
2344,4917
2345,83
2345,204
2345,254
2345,312
2345,549
2345,550
2345,576
2345,888
2345,896
2345,1014
2345,1144
2345,1458
2345,2094
2345,2126
2345,2311
2345,2376
2345,2671
2345,2785
2345,2892
2345,2982
2345,4134
2345,4425
2345,4804
2345,4865
2345,4981
2346,229
2346,388
2346,665
2346,1059
2346,1148
2346,1340
2346,1454
2346,1591
2346,1630
2346,1872
2346,2185
2346,2433
2346,2481
2346,2624
2346,2719
2346,2853
2346,2880
2346,3082
2346,3804
2346,4324
2346,4578
2346,4737
2347,57
2347,463
2347,1314
2347,1847
2347,2205
2347,2243
2347,2249
2347,2260
2347,2938
2347,3050
2347,3163
2347,3195
2347,3243
2347,4254
2347,4563
2347,4896
2347,4940
2347,4991
2348,437
2348,872
2348,1246
2348,1296
2348,1391
2348,1447
2348,1796
2348,2095
2348,2381
2348,2799
2348,3531
2348,4039
2348,4231
2349,67
2349,85
2349,541
2349,763
2349,980
2349,1382
2349,1571
2349,2015
2349,2032
2349,2175
2349,2532
2349,2585
2349,2631
2349,3209
2349,3436
2349,3605
2349,3989
2349,4444
2349,4447
2349,4624
2349,4668
2350,30
2350,529
2350,956
2350,1273
2350,1401
2350,1435
2350,1585
2350,1900
2350,2562
2350,2587
2350,3088
2350,3119
2350,3240
2350,3401
2350,3583
2350,3645
2350,4319
2350,4762
2351,141
2351,187
2351,539
2351,592
2351,602
2351,1418
2351,1831
2351,1930
2351,2233
2351,2309
2351,2745
2351,2748
2351,2784
2351,3353
2351,3420
2351,3637
2351,3642
2351,4034
2351,4302
2351,4349
2351,4401
2351,4738
2351,4803
2351,4924
2351,4998
2352,210
2352,368
2352,1336
2352,1426
2352,1736
2352,1847
2352,1896
2352,2190
2352,2302
2352,2365
2352,2899
2352,3012
2352,3314
2352,3806
2352,4110
2352,4582
2352,4885
2353,94
2353,693
2353,889
2353,1009
2353,1046
2353,1055
2353,1362
2353,1547
2353,1635
2353,3462
2353,3987
2353,4396
2353,4693
2353,4924
2353,4943
2354,38
2354,479
2354,582
2354,731
2354,1110
2354,1678
2354,2052
2354,2511
2354,2897
2354,3721
2354,4031
2354,4289
2354,4506
2354,4748
2355,525
2355,547
2355,1112
2355,1184
2355,1516
2355,1685
2355,2023
2355,2033
2355,2460
2355,2876
2355,3170
2355,3333
2355,3353
2355,3354
2355,3486
2355,3627
2355,3701
2355,3722
2355,4055
2355,4268
2355,4477
2355,4711
2355,4806
2355,4917
2355,4944
2356,279
2356,733
2356,854
2356,883
2356,1378
2356,1500
2356,1702
2356,1728
2356,1932
2356,1935
2356,1996
2356,3164
2356,3471
2356,3928
2356,4301
2357,363
2357,742
2357,1819
2357,2378
2357,2614
2357,2676
2357,2910
2357,3221
2357,3308
2357,3340
2357,3534
2357,3907
2357,3923
2357,4008
2357,4226
2357,4624
2357,4759
2357,4833
2357,4853
2357,4981
2358,37
2358,324
2358,632
2358,728
2358,753
2358,985
2358,1047
2358,1590
2358,1765
2358,2194
2358,2258
2358,2543
2358,3139
2358,3510
2358,3609
2358,3782
2358,3878
2358,4149
2358,4917
2358,4927
2359,394
2359,499
2359,543
2359,1246
2359,1650
2359,1772
2359,1818
2359,1847
2359,1983
2359,2604
2359,2612
2359,2706
2359,3353
2359,3403
2359,3500
2359,3552
2359,3623
2359,3669
2359,3840
2359,3884
2359,3964
2359,4313
2359,4390
2360,322
2360,345
2360,352
2360,353
2360,925
2360,1048
2360,1138
2360,1557
2360,1605
2360,2250
2360,2633
2360,3062
2360,3228
2360,3231
2360,3284
2360,3795
2360,3912
2360,3914
2360,4266
2361,121
2361,496
2361,512
2361,599
2361,682
2361,1598
2361,1946
2361,2014
2361,2042
2361,2365
2361,2382
2361,2425
2361,2569
2361,2687
2361,2871
2361,2990
2361,3093
2361,3206
2361,3397
2361,4010
2361,4306
2361,4464
2361,4916
2362,183
2362,293
2362,303
2362,546
2362,1227
2362,1536
2362,1654
2362,2009
2362,2164
2362,2390
2362,2780
2362,3451
2362,3632
2362,3878
2362,4345
2362,4525
2362,4628
2362,4672
2362,4990
2363,69
2363,249
2363,633
2363,1021
2363,1199
2363,1439
2363,1651
2363,1859
2363,2006
2363,2014
2363,2052
2363,2198
2363,2267
2363,2389
2363,2468
2363,2639
2363,2726
2363,2766
2363,2811
2363,3269
2363,3383
2363,3557
2363,4155
2363,4555
2363,4580
2363,4666
2364,191
2364,197
2364,573
2364,814
2364,982
2364,1233
2364,1644
2364,1840
2364,2068
2364,2440
2364,2554
2364,2715
2364,2765
2364,2798
2364,2811
2364,3168
2364,3266
2364,3562
2364,3660
2364,3662
2364,3730
2364,3996
2364,4593
2365,79
2365,175
2365,212
2365,386
2365,435
2365,724
2365,889
2365,948
2365,1104
2365,1378
2365,2372
2365,2645
2365,2998
2365,3058
2365,3153
2365,3176
2365,3239
2365,3245
2365,3625
2365,4046
2365,4283
2365,4436
2365,4970
2366,96
2366,479
2366,533
2366,1266
2366,1665
2366,1714
2366,2002
2366,2213
2366,2546
2366,2589
2366,2734
2366,3029
2366,3188
2366,3396
2366,3875
2366,3975
2366,4204
2366,4807
2366,4816
2367,6
2367,150
2367,544
2367,628
2367,661
2367,734
2367,1170
2367,1172
2367,1208
2367,1293
2367,1356
2367,1374
2367,1391
2367,1540
2367,1829
2367,2320
2367,2469
2367,2585
2367,2638
2367,3510
2367,3633
2367,3676
2367,4260
2367,4349
2367,4775
2367,4906
2368,350
2368,366
2368,533
2368,1223
2368,1253
2368,1300
2368,1384
2368,1908
2368,2203
2368,2938
2368,3150
2368,3736
2368,4492
2368,4824
2369,259
2369,388
2369,583
2369,1371
2369,1702
2369,1717
2369,1808
2369,2024
2369,2189
2369,2225
2369,2445
2369,2568
2369,3621
2369,4313
2369,4592
2370,556
2370,659
2370,802
2370,1716
2370,1742
2370,2074
2370,2253
2370,3069
2370,3520
2370,3719
2370,3843
2370,3948
2370,4229
2370,4278
2370,4428
2370,4719
2370,4965
2371,21
2371,745
2371,1190
2371,1279
2371,1354
2371,1611
2371,1911
2371,2766
2371,3179
2371,3397
2371,3409
2371,3594
2371,3641
2371,3818
2371,4687
2371,4989
2372,443
2372,542
2372,547
2372,608
2372,624
2372,1171
2372,1246
2372,1332
2372,1396
2372,1668
2372,1672
2372,1752
2372,1911
2372,1924
2372,2876
2372,2917
2372,3200
2372,3776
2372,4166
2372,4303
2372,4396
2372,4532
2372,4661
2372,4681
